"20%",20,20.33
"40%",20,27.31
"60%",20,25.74
"80%",20,33.94
"100%",20,27.17
"20%",40,27.10
"40%",40,27.39
"60%",40,32.11
"80%",40,29.77
"100%",40,37.87
"20%",60,34.07
"40%",60,35.11
"60%",60,33.26
"80%",60,52.81
"100%",60,47.58
"20%",80,33.24
"40%",80,32.80
"60%",80,45.86
"80%",80,47.34
"100%",80,63.05
"20%",100,34.87
"40%",100,37.26
"60%",100,50.64
"80%",100,51.66
"100%",100,105.53
"20%",120,44.10
"40%",120,47.19
"60%",120,49.46
"80%",120,77.11
"100%",120,94.84
"20%",140,42.81
"40%",140,60.35
"60%",140,76.50
"80%",140,74.16
"100%",140,74.91
"20%",160,50.51
"40%",160,63.28
"60%",160,67.78
"80%",160,79.29
"100%",160,108.70
